#A increments downwards [0..255]
#Commit ID: 10eb08bcd8b4 tip
#Hex value of AF registers after performing RL with F = 0x00
0044,
0200,
0400,
0604,
0808,
0A0C,
0C0C,
0E08,
1000,
1204,
1404,
1600,
180C,
1A08,
1C08,
1E0C,
2020,
2224,
2424,
2620,
282C,
2A28,
2C28,
2E2C,
3024,
3220,
3420,
3624,
3828,
3A2C,
3C2C,
3E28,
4000,
4204,
4404,
4600,
480C,
4A08,
4C08,
4E0C,
5004,
5200,
5400,
5604,
5808,
5A0C,
5C0C,
5E08,
6024,
6220,
6420,
6624,
6828,
6A2C,
6C2C,
6E28,
7020,
7224,
7424,
7620,
782C,
7A28,
7C28,
7E2C,
8080,
8284,
8484,
8680,
888C,
8A88,
8C88,
8E8C,
9084,
9280,
9480,
9684,
9888,
9A8C,
9C8C,
9E88,
A0A4,
A2A0,
A4A0,
A6A4,
A8A8,
AAAC,
ACAC,
AEA8,
B0A0,
B2A4,
B4A4,
B6A0,
B8AC,
BAA8,
BCA8,
BEAC,
C084,
C280,
C480,
C684,
C888,
CA8C,
CC8C,
CE88,
D080,
D284,
D484,
D680,
D88C,
DA88,
DC88,
DE8C,
E0A0,
E2A4,
E4A4,
E6A0,
E8AC,
EAA8,
ECA8,
EEAC,
F0A4,
F2A0,
F4A0,
F6A4,
F8A8,
FAAC,
FCAC,
FEA8,
0045,
0201,
0401,
0605,
0809,
0A0D,
0C0D,
0E09,
1001,
1205,
1405,
1601,
180D,
1A09,
1C09,
1E0D,
2021,
2225,
2425,
2621,
282D,
2A29,
2C29,
2E2D,
3025,
3221,
3421,
3625,
3829,
3A2D,
3C2D,
3E29,
4001,
4205,
4405,
4601,
480D,
4A09,
4C09,
4E0D,
5005,
5201,
5401,
5605,
5809,
5A0D,
5C0D,
5E09,
6025,
6221,
6421,
6625,
6829,
6A2D,
6C2D,
6E29,
7021,
7225,
7425,
7621,
782D,
7A29,
7C29,
7E2D,
8081,
8285,
8485,
8681,
888D,
8A89,
8C89,
8E8D,
9085,
9281,
9481,
9685,
9889,
9A8D,
9C8D,
9E89,
A0A5,
A2A1,
A4A1,
A6A5,
A8A9,
AAAD,
ACAD,
AEA9,
B0A1,
B2A5,
B4A5,
B6A1,
B8AD,
BAA9,
BCA9,
BEAD,
C085,
C281,
C481,
C685,
C889,
CA8D,
CC8D,
CE89,
D081,
D285,
D485,
D681,
D88D,
DA89,
DC89,
DE8D,
E0A1,
E2A5,
E4A5,
E6A1,
E8AD,
EAA9,
ECA9,
EEAD,
F0A5,
F2A1,
F4A1,
F6A5,
F8A9,
FAAD,
FCAD,
FEA9,
#Hex value of AF registers after performing RL with F = 0x00 + Carry
0100,
0304,
0504,
0700,
090C,
0B08,
0D08,
0F0C,
1104,
1300,
1500,
1704,
1908,
1B0C,
1D0C,
1F08,
2124,
2320,
2520,
2724,
2928,
2B2C,
2D2C,
2F28,
3120,
3324,
3524,
3720,
392C,
3B28,
3D28,
3F2C,
4104,
4300,
4500,
4704,
4908,
4B0C,
4D0C,
4F08,
5100,
5304,
5504,
5700,
590C,
5B08,
5D08,
5F0C,
6120,
6324,
6524,
6720,
692C,
6B28,
6D28,
6F2C,
7124,
7320,
7520,
7724,
7928,
7B2C,
7D2C,
7F28,
8184,
8380,
8580,
8784,
8988,
8B8C,
8D8C,
8F88,
9180,
9384,
9584,
9780,
998C,
9B88,
9D88,
9F8C,
A1A0,
A3A4,
A5A4,
A7A0,
A9AC,
ABA8,
ADA8,
AFAC,
B1A4,
B3A0,
B5A0,
B7A4,
B9A8,
BBAC,
BDAC,
BFA8,
C180,
C384,
C584,
C780,
C98C,
CB88,
CD88,
CF8C,
D184,
D380,
D580,
D784,
D988,
DB8C,
DD8C,
DF88,
E1A4,
E3A0,
E5A0,
E7A4,
E9A8,
EBAC,
EDAC,
EFA8,
F1A0,
F3A4,
F5A4,
F7A0,
F9AC,
FBA8,
FDA8,
FFAC,
0101,
0305,
0505,
0701,
090D,
0B09,
0D09,
0F0D,
1105,
1301,
1501,
1705,
1909,
1B0D,
1D0D,
1F09,
2125,
2321,
2521,
2725,
2929,
2B2D,
2D2D,
2F29,
3121,
3325,
3525,
3721,
392D,
3B29,
3D29,
3F2D,
4105,
4301,
4501,
4705,
4909,
4B0D,
4D0D,
4F09,
5101,
5305,
5505,
5701,
590D,
5B09,
5D09,
5F0D,
6121,
6325,
6525,
6721,
692D,
6B29,
6D29,
6F2D,
7125,
7321,
7521,
7725,
7929,
7B2D,
7D2D,
7F29,
8185,
8381,
8581,
8785,
8989,
8B8D,
8D8D,
8F89,
9181,
9385,
9585,
9781,
998D,
9B89,
9D89,
9F8D,
A1A1,
A3A5,
A5A5,
A7A1,
A9AD,
ABA9,
ADA9,
AFAD,
B1A5,
B3A1,
B5A1,
B7A5,
B9A9,
BBAD,
BDAD,
BFA9,
C181,
C385,
C585,
C781,
C98D,
CB89,
CD89,
CF8D,
D185,
D381,
D581,
D785,
D989,
DB8D,
DD8D,
DF89,
E1A5,
E3A1,
E5A1,
E7A5,
E9A9,
EBAD,
EDAD,
EFA9,
F1A1,
F3A5,
F5A5,
F7A1,
F9AD,
FBA9,
FDA9,
FFAD,
#Hex value of AF registers after performing RL with F = 0xFF
0100,
0304,
0504,
0700,
090C,
0B08,
0D08,
0F0C,
1104,
1300,
1500,
1704,
1908,
1B0C,
1D0C,
1F08,
2124,
2320,
2520,
2724,
2928,
2B2C,
2D2C,
2F28,
3120,
3324,
3524,
3720,
392C,
3B28,
3D28,
3F2C,
4104,
4300,
4500,
4704,
4908,
4B0C,
4D0C,
4F08,
5100,
5304,
5504,
5700,
590C,
5B08,
5D08,
5F0C,
6120,
6324,
6524,
6720,
692C,
6B28,
6D28,
6F2C,
7124,
7320,
7520,
7724,
7928,
7B2C,
7D2C,
7F28,
8184,
8380,
8580,
8784,
8988,
8B8C,
8D8C,
8F88,
9180,
9384,
9584,
9780,
998C,
9B88,
9D88,
9F8C,
A1A0,
A3A4,
A5A4,
A7A0,
A9AC,
ABA8,
ADA8,
AFAC,
B1A4,
B3A0,
B5A0,
B7A4,
B9A8,
BBAC,
BDAC,
BFA8,
C180,
C384,
C584,
C780,
C98C,
CB88,
CD88,
CF8C,
D184,
D380,
D580,
D784,
D988,
DB8C,
DD8C,
DF88,
E1A4,
E3A0,
E5A0,
E7A4,
E9A8,
EBAC,
EDAC,
EFA8,
F1A0,
F3A4,
F5A4,
F7A0,
F9AC,
FBA8,
FDA8,
FFAC,
0101,
0305,
0505,
0701,
090D,
0B09,
0D09,
0F0D,
1105,
1301,
1501,
1705,
1909,
1B0D,
1D0D,
1F09,
2125,
2321,
2521,
2725,
2929,
2B2D,
2D2D,
2F29,
3121,
3325,
3525,
3721,
392D,
3B29,
3D29,
3F2D,
4105,
4301,
4501,
4705,
4909,
4B0D,
4D0D,
4F09,
5101,
5305,
5505,
5701,
590D,
5B09,
5D09,
5F0D,
6121,
6325,
6525,
6721,
692D,
6B29,
6D29,
6F2D,
7125,
7321,
7521,
7725,
7929,
7B2D,
7D2D,
7F29,
8185,
8381,
8581,
8785,
8989,
8B8D,
8D8D,
8F89,
9181,
9385,
9585,
9781,
998D,
9B89,
9D89,
9F8D,
A1A1,
A3A5,
A5A5,
A7A1,
A9AD,
ABA9,
ADA9,
AFAD,
B1A5,
B3A1,
B5A1,
B7A5,
B9A9,
BBAD,
BDAD,
BFA9,
C181,
C385,
C585,
C781,
C98D,
CB89,
CD89,
CF8D,
D185,
D381,
D581,
D785,
D989,
DB8D,
DD8D,
DF89,
E1A5,
E3A1,
E5A1,
E7A5,
E9A9,
EBAD,
EDAD,
EFA9,
F1A1,
F3A5,
F5A5,
F7A1,
F9AD,
FBA9,
FDA9,
FFAD,
#Hex value of AF registers after performing RL with F = 0xFF - Carry
0044,
0200,
0400,
0604,
0808,
0A0C,
0C0C,
0E08,
1000,
1204,
1404,
1600,
180C,
1A08,
1C08,
1E0C,
2020,
2224,
2424,
2620,
282C,
2A28,
2C28,
2E2C,
3024,
3220,
3420,
3624,
3828,
3A2C,
3C2C,
3E28,
4000,
4204,
4404,
4600,
480C,
4A08,
4C08,
4E0C,
5004,
5200,
5400,
5604,
5808,
5A0C,
5C0C,
5E08,
6024,
6220,
6420,
6624,
6828,
