#Hex value of AF registers after performing DEC A; A - 1 with F = 0x00
#A increments downwards [0..255]
#Commit ID: 0b48a7588762 tip
FFBA,
0042,
0102,
0202,
0302,
0402,
0502,
0602,
0702,
080A,
090A,
0A0A,
0B0A,
0C0A,
0D0A,
0E0A,
0F1A,
1002,
1102,
1202,
1302,
1402,
1502,
1602,
1702,
180A,
190A,
1A0A,
1B0A,
1C0A,
1D0A,
1E0A,
1F1A,
2022,
2122,
2222,
2322,
2422,
2522,
2622,
2722,
282A,
292A,
2A2A,
2B2A,
2C2A,
2D2A,
2E2A,
2F3A,
3022,
3122,
3222,
3322,
3422,
3522,
3622,
3722,
382A,
392A,
3A2A,
3B2A,
3C2A,
3D2A,
3E2A,
3F3A,
4002,
4102,
4202,
4302,
4402,
4502,
4602,
4702,
480A,
490A,
4A0A,
4B0A,
4C0A,
4D0A,
4E0A,
4F1A,
5002,
5102,
5202,
5302,
5402,
5502,
5602,
5702,
580A,
590A,
5A0A,
5B0A,
5C0A,
5D0A,
5E0A,
5F1A,
6022,
6122,
6222,
6322,
6422,
6522,
6622,
6722,
682A,
692A,
6A2A,
6B2A,
6C2A,
6D2A,
6E2A,
6F3A,
7022,
7122,
7222,
7322,
7422,
7522,
7622,
7722,
782A,
792A,
7A2A,
7B2A,
7C2A,
7D2A,
7E2A,
7F3E,
8082,
8182,
8282,
8382,
8482,
8582,
8682,
8782,
888A,
898A,
8A8A,
8B8A,
8C8A,
8D8A,
8E8A,
8F9A,
9082,
9182,
9282,
9382,
9482,
9582,
9682,
9782,
988A,
998A,
9A8A,
9B8A,
9C8A,
9D8A,
9E8A,
9F9A,
A0A2,
A1A2,
A2A2,
A3A2,
A4A2,
A5A2,
A6A2,
A7A2,
A8AA,
A9AA,
AAAA,
ABAA,
ACAA,
ADAA,
AEAA,
AFBA,
B0A2,
B1A2,
B2A2,
B3A2,
B4A2,
B5A2,
B6A2,
B7A2,
B8AA,
B9AA,
BAAA,
BBAA,
BCAA,
BDAA,
BEAA,
BFBA,
C082,
C182,
C282,
C382,
C482,
C582,
C682,
C782,
C88A,
C98A,
CA8A,
CB8A,
CC8A,
CD8A,
CE8A,
CF9A,
D082,
D182,
D282,
D382,
D482,
D582,
D682,
D782,
D88A,
D98A,
DA8A,
DB8A,
DC8A,
DD8A,
DE8A,
DF9A,
E0A2,
E1A2,
E2A2,
E3A2,
E4A2,
E5A2,
E6A2,
E7A2,
E8AA,
E9AA,
EAAA,
EBAA,
ECAA,
EDAA,
EEAA,
EFBA,
F0A2,
F1A2,
F2A2,
F3A2,
F4A2,
F5A2,
F6A2,
F7A2,
F8AA,
F9AA,
FAAA,
FBAA,
FCAA,
FDAA,
FEAA,
#Hex value of AF registers after performing DEC A; A - 1 with F = 0xFF
FFBB,
0043,
0103,
0203,
0303,
0403,
0503,
0603,
0703,
080B,
090B,
0A0B,
0B0B,
0C0B,
0D0B,
0E0B,
0F1B,
1003,
1103,
1203,
1303,
1403,
1503,
1603,
1703,
180B,
190B,
1A0B,
1B0B,
1C0B,
1D0B,
1E0B,
1F1B,
2023,
2123,
2223,
2323,
2423,
2523,
2623,
2723,
282B,
292B,
2A2B,
2B2B,
2C2B,
2D2B,
2E2B,
2F3B,
3023,
3123,
3223,
3323,
3423,
3523,
3623,
3723,
382B,
392B,
3A2B,
3B2B,
3C2B,
3D2B,
3E2B,
3F3B,
4003,
4103,
4203,
4303,
4403,
4503,
4603,
4703,
480B,
490B,
4A0B,
4B0B,
4C0B,
4D0B,
4E0B,
4F1B,
5003,
5103,
5203,
5303,
5403,
5503,
5603,
5703,
580B,
590B,
5A0B,
5B0B,
5C0B,
5D0B,
5E0B,
5F1B,
6023,
6123,
6223,
6323,
6423,
6523,
6623,
6723,
682B,
692B,
6A2B,
6B2B,
6C2B,
6D2B,
6E2B,
6F3B,
7023,
7123,
7223,
7323,
7423,
7523,
7623,
7723,
782B,
792B,
7A2B,
7B2B,
7C2B,
7D2B,
7E2B,
7F3F,
8083,
8183,
8283,
8383,
8483,
8583,
8683,
8783,
888B,
898B,
8A8B,
8B8B,
8C8B,
8D8B,
8E8B,
8F9B,
9083,
9183,
9283,
9383,
9483,
9583,
9683,
9783,
988B,
998B,
9A8B,
9B8B,
9C8B,
9D8B,
9E8B,
9F9B,
A0A3,
A1A3,
A2A3,
A3A3,
A4A3,
A5A3,
A6A3,
A7A3,
A8AB,
A9AB,
AAAB,
ABAB,
ACAB,
ADAB,
AEAB,
AFBB,
B0A3,
B1A3,
B2A3,
B3A3,
B4A3,
B5A3,
B6A3,
B7A3,
B8AB,
B9AB,
BAAB,
BBAB,
BCAB,
BDAB,
BEAB,
BFBB,
C083,
C183,
C283,
C383,
C483,
C583,
C683,
C783,
C88B,
C98B,
CA8B,
CB8B,
CC8B,
CD8B,
CE8B,
CF9B,
D083,
D183,
D283,
D383,
D483,
D583,
D683,
D783,
D88B,
D98B,
DA8B,
DB8B,
DC8B,
DD8B,
DE8B,
DF9B,
E0A3,
E1A3,
E2A3,
E3A3,
E4A3,
E5A3,
E6A3,
E7A3,
E8AB,
E9AB,
EAAB,
EBAB,
ECAB,
EDAB,
EEAB,
EFBB,
F0A3,
F1A3,
F2A3,
F3A3,
F4A3,
F5A3,
F6A3,
F7A3,
F8AB,
F9AB,
FAAB,
FBAB,
FCAB,
FDAB,
FEAB,
#EOF
